wellbore;activation;test_date;duration;q_oil;q_gas;q_water;q_liquid;api;bsw;gor;glr;tds;choke;whp;whp_si;flp;flp_SI;wht;wht_SI;chp;chp_SI;p_sep;p_sep_si;t_sep;t_sep_si;chemical_inj;bhp_pip;bhp_pip_si;q_gl;q_jet;rpm
EKM-046ST2;AGL;29/03/2025;1;144,3;325,42;2,52;146,82;27,85;1,716387413;2255,162855;2216,455524;;176;3,4;3,4;;;34;34;62;62;3,2;3,2;32;32;;17,82;17,82;350;;
EKM-046ST2;AGL;12/03/2025;2;139,5;305,08;2,58;142,08;27,85;1,815878378;2186,953405;2147,240991;;176;3,11;3,11;;;34,5;34,5;60;60;2,5;2,5;32;32;;18,6;18,6;356;;
EKM-046ST2;AGL;12/02/2025;2;116;406,77;2,27;118,27;27,85;1,91933711;3506,637931;3439,333728;;176;2,9;2,9;;;36;36;59;59;2,5;2,5;34;34;;18,5;18,5;352;;
EKM-046ST2;AGL;31/01/2025;2;97;363,13;2,61;99,61;27,85;2,620218854;3743,608247;3645,517518;;176;3,3;3,3;;;33;33;59,3;59,3;3;3;31;31;;18,13;18,13;353;;
EKM-046ST2;AGL;29/01/2025;3;110,6;420,9;2,98;113,58;27,85;2,623701356;3805,605787;3705,758056;;176;2,6;2,6;;;35;35;59;59;2,46;2,46;33;33;;18,8;18,8;350;;
EKM-046ST2;AGL;15/01/2025;2,5;106,3;423,72;3,32;109,62;27,85;3,028644408;3986,07714;3865,353038;;176;2,5;2,5;;;37;37;59;59;2,35;2,35;35;35;;18,3;18,3;353;;
EKM-046ST2;AGL;14/01/2025;3;82,8;497,16;0;82,8;27,85;0;6004,347826;6004,347826;;176;3;3;;;37;37;59;59;2,6;2,6;34;34;;18,1;18,1;353;;
EKM-046ST2;AGL;03/01/2025;2;94,9;300,84;0;94,9;27,85;0;3170,073762;3170,073762;;176;2,8;2,8;;;32;32;47,5;47,5;2,6;2,6;30;30;;19,4;19,4;284;;
EKM-046ST2;AGL;20/12/2024;2;71,2;292,37;0;71,2;27,85;0;4106,320225;4106,320225;;176;3,2;3,2;;;32;32;47;47;2,95;2,95;30;30;;20,3;20,3;284;;
EKM-046ST2;AGL;17/12/2024;2;14,8;262,71;0;14,8;27,85;0;17750,67568;17750,67568;;176;10;10;;;33;33;47;47;9,5;9,5;31;31;;23,6;23,6;284;;
EKM-046ST2;AGL;16/12/2024;4;19;241,52;0;19;27,85;0;12711,57895;12711,57895;;176;10;10;;;32;32;48;48;9,5;9,5;30;30;;23,5;23,5;297;;
EKM-046ST2;AGL;08/12/2024;5;18,9;550,84;0;18,9;27,85;0;29144,97354;29144,97354;;176;9,8;9,8;;;38;38;69;69;9,6;9,6;32;32;;22,4;22,4;426;;
EKM-046ST2;AGL;25/11/2024;2;94;504,23;0,53;94,53;27,85;0,560668571;5364,148936;5334,073839;;176;2,8;2,8;;;37;37;69;69;2,6;2,6;35;35;;16,5;16,5;424;;
EKM-046ST2;AGL;18/11/2024;4;106;489;1;107;27,85;0,934579439;4613,207547;4570,093458;;176;3,3;3,3;;;38;38;69;69;3;3;35;35;;18,2;18,2;424;;
EKM-046ST2;AGL;03/11/2024;3;105,1;435,02;0,43;105,53;27,85;0,407467071;4139,105614;4122,240121;;176;3,5;3,5;;;38;38;68,5;68,5;3;3;35;35;;18;18;441;;
EKM-046ST2;AGL;27/10/2024;3;116,8;192,09;1,55;118,35;27,85;1,309674694;1644,606164;1623,067174;;176;3,4;3,4;;;36;36;70;70;4,3;4,3;33;33;;18,7;18,7;475;;
EKM-046ST2;AGL;21/10/2024;2;117,1;180,51;1,19;118,29;27,85;1,006002198;1541,502989;1525,995435;;176;3,1;3,1;;;34,5;34,5;69,5;69,5;2,6;2,6;33;33;;18,7;18,7;458;;
EKM-046ST2;AGL;05/10/2024;3;111;184;0;111;27,85;0;1657,657658;1657,657658;;176;3,2;3,2;;;34,2;34,2;69;69;3;3;31;31;;18,6;18,6;460;;
EKM-046ST2;AGL;18/09/2024;3;124;568;2;126;27,85;1,587301587;4580,645161;4507,936508;;176;2,4;2,4;;;36;36;69;69;2,5;2,5;33;33;;18,4;18,4;494;;
EKM-046ST2;AGL;07/09/2024;2;122;411;5;127;27,85;3,937007874;3368,852459;3236,220472;;179;3;3;;;36;36;69,5;69,5;2,5;2,5;33;33;;18,5;18,5;492;;
EKM-046ST2;AGL;25/08/2024;2;126,1;572,02;0,13;126,23;27,85;0,102986612;4536,241079;4531,569358;;179;3;3;;;36;36;70;70;2,8;2,8;32;32;;18,1;18,1;508;;
EKM-046ST2;AGL;11/08/2024;2;118,6;813,54;0;118,6;27,85;0;6859,527825;6859,527825;;179;3,2;3,2;;;31;31;61;61;2,4;2,4;30;30;;18,3;18,3;436;;
EKM-046ST2;AGL;31/07/2024;2;79,68;652,54;0,32;80;27,85;0,4;8189,508032;8156,75;;179;2,7;2,7;;;30;30;69,2;69,2;2,3;2,3;29;29;;16,7;16,7;441;;
EKM-046ST2;AGL;19/07/2024;1;71;830;0;71;27,85;0;11690,14085;11690,14085;;179;3,7;3,7;;;36;36;68,5;68,5;3;3;34;34;;15,8;15,8;424;;
EKM-046ST2;AGL;15/06/2024;2;82,7;864,39;0,08;82,78;27,85;0,096641701;10452,11608;10442,01498;;179;31;31;;;36;36;68;68;2,8;2,8;33;33;;18,1;18,1;424;;
EKM-046ST2;AGL;04/06/2024;1;137,1;974,56;0,14;137,24;27,85;0,102011075;7108,388038;7101,136695;;179;2,7;2,7;;;38;38;65;65;2,5;2,5;33;33;;17,8;17,8;441;;
EKM-046ST2;AGL;29/04/2024;3;140,9;915,94;1;141,9;27,85;0,704721635;6500,638751;6454,827343;;179;2,8;2,8;;;35,7;35,7;63,9;63,9;2,8;2,8;34;34;;18,9;18,9;307;;
EKM-046ST2;AGL;08/04/2024;3;94,2;897,58;0,38;94,58;27,85;0,401776274;9528,450106;9490,167054;;179;2,6;2,6;;;36;36;60;60;2,5;2,5;34;34;;18;18;201;;
