index,q_ing_w1,fluid_w1,q_ing_w2,fluid_w2,q_ing_w3,fluid_w3,q_ing_w4,fluid_w4,q_ing_w5,fluid_w5,q_ing_w6,fluid_w6
1,529,1544,459,1867,734,1454,586,1881,590,563,502,1386
2,434,1581,459,1877,669,1424,668,2194,598,599,600,1512
3,430,1929,445,1870,593,1369,678,2045,492,475,633,1551
4,530,2797,452,1786,528,1345,720,1719,452,444,424,1477
5,530,1910,467,1609,627,1369,686,1585,447,521,432,1409
6,530,1833,494,1770,452,1454,636,1687,459,521,703,1395
7,530,1785,500,1889,459,1424,600,1797,448,493,701,1312
8,530,1877,600,1777,534,1537,593,1977,531,504,703,1346
9,530,1880,602,1853,406,1419,737,2289,534,472,706,1377
10,530,1924,777,2183,531,1508,689,2206,494,435,706,1338
11,600,2264,646,2122,441,1372,680,1897,490,550,733,1371
12,494,2067,642,2116,733,1449,785,1901,347,451,644,1378
13,496,2019,441,1469,699,1398,667,1688,600,477,636,1323
14,528,1349,453,1539,664,1408,459,1615,593,522,629,1417
15,530,1920,530,1606,780,1472,644,1296,600,597,495,1224
16,530,2027,494,1593,784,1465,669,1293,,,493,1339
17,530,2001,458,1615,785,1475,458,1288,,,492,1339
18,534,1632,483,1643,734,1459,706,1002,,,494,1348
19,512,1644,480,1613,521,1306,494,1425,,,529,1644
20,530,1818,494,1991,530,1364,695,1399,,,528,1695
21,530,1763,,,473,1358,695,1477,,,,
22,336,1207,,,494,1376,740,1755,,,,
23,530,1656,,,555,1354,198,1172,,,,
24,599,1730,,,453,1403,,,,,,
25,459,1496,,,459,1462,,,,,,
26,530,1594,,,460,1458,,,,,,
27,530,1797,,,593,1280,,,,,,
28,530,1862,,,508,1564,,,,,,
29,530,2014,,,367,1450,,,,,,
30,530,2012,,,546,1469,,,,,,
31,531,2007,,,698,1479,,,,,,
32,530,1773,,,455,1443,,,,,,
33,530,1872,,,448,1447,,,,,,
34,530,1823,,,459,1457,,,,,,
35,530,1803,,,528,1642,,,,,,
36,530,1865,,,419,1393,,,,,,
37,530,1884,,,480,1360,,,,,,
38,530,1899,,,780,1475,,,,,,
39,530,1692,,,,,,,,,,
40,494,2273,,,,,,,,,,
41,494,2040,,,,,,,,,,
42,530,2001,,,,,,,,,,
43,267,1225,,,,,,,,,,
44,532,1702,,,,,,,,,,
