index,q_ing_w1,fluid_w1,q_ing_w2,fluid_w2,q_ing_w3,fluid_w3,q_ing_w4,fluid_w4,q_ing_w5,fluid_w5,q_ing_w6,fluid_w6
1,350,147,847,942,811,2506,742,997,706,1555,773,1720
2,356,142,706,779,812,2148,751,1461,775,1735,720,532
3,352,118,706,854,811,2390,703,1495,706,2536,705,1670
4,353,100,777,803,811,2399,777,1467,882,1053,705,1670
5,350,114,774,866,771,2369,776,1488,881,1158,706,1777
6,353,110,776,898,742,2509,776,1456,953,1323,636,1661
7,284,95,669,920,913,2185,708,2032,1021,1563,597,1600
8,284,71,671,923,989,3089,699,2053,883,1473,632,1682
9,284,15,671,963,987,3095,706,1878,882,1491,636,1744
10,297,19,671,876,932,2513,698,1484,882,1761,531,1635
11,426,19,672,985,812,2578,703,1467,881,1636,837,2083
12,424,95,669,942,814,2539,593,1494,881,1514,754,1527
13,424,107,742,854,814,2683,636,1512,883,1483,705,1318
14,441,106,600,921,805,2779,699,1590,839,2353,883,1595
15,475,118,564,945,988,2235,636,1755,768,2252,636,1615
16,458,118,530,872,830,2139,703,1448,763,2311,805,771
17,460,111,530,841,983,2839,,,,,,
18,494,126,530,818,851,2850,,,,,,
19,492,127,530,843,775,2610,,,,,,
20,508,126,528,860,924,2556,,,,,,
21,436,119,534,874,777,2330,,,,,,
22,441,80,528,839,847,2399,,,,,,
23,424,71,218,897,,,,,,,,
24,424,83,530,1086,,,,,,,,
25,441,137,530,949,,,,,,,,
26,307,142,530,975,,,,,,,,
27,201,95,530,960,,,,,,,,
28,353,83,530,969,,,,,,,,
29,,,469,892,,,,,,,,
30,,,475,898,,,,,,,,
31,,,458,1063,,,,,,,,
32,,,530,1114,,,,,,,,
33,,,604,1099,,,,,,,,
34,,,685,1032,,,,,,,,
35,,,743,1086,,,,,,,,
36,,,847,1232,,,,,,,,
37,,,881,945,,,,,,,,
38,,,847,1128,,,,,,,,
39,,,881,1115,,,,,,,,
40,,,881,1240,,,,,,,,
41,,,791,1155,,,,,,,,
42,,,763,1217,,,,,,,,
43,,,759,1431,,,,,,,,
44,,,720,1516,,,,,,,,
45,,,610,1438,,,,,,,,
46,,,812,1377,,,,,,,,
47,,,812,1375,,,,,,,,
48,,,754,1368,,,,,,,,
49,,,812,1406,,,,,,,,
